Line,Issue Type,Sentence,Suggested Fix
1,Missing punctuation,Nz,"Add punctuation at the end, e.g., 'Nz.'"
4,Missing capitalization,"« Fɑ̀' zě'è, ndīē wāhà nzɑ̄, lə̄' zě'è, ndīē wāhā nzhʉ́ɑ́. »","Capitalize the first letter: '« Fɑ̀' zě'è, ndīē wāhà nzɑ̄, lə̄' zě'è, ndīē wāhā nzhʉ́ɑ́. »'"
4,Missing punctuation,"« Fɑ̀' zě'è, ndīē wāhà nzɑ̄, lə̄' zě'è, ndīē wāhā nzhʉ́ɑ́. »","Add punctuation at the end, e.g., '« Fɑ̀' zě'è, ndīē wāhà nzɑ̄, lə̄' zě'è, ndīē wāhā nzhʉ́ɑ́. ».'"
5,Missing capitalization,"« Zhī’sī ghə̀ə̀ zǒ, mbɑ̄ yǒ wènòk !","Capitalize the first letter: '« Zhī’sī ghə̀ə̀ zǒ, mbɑ̄ yǒ wènòk !'"
6,Missing punctuation,"Ò sǐ’ nzhī ghə̀ə̀ zǒ bɑ̄, mɑ̀ pó mfén ō pù’ »","Add punctuation at the end, e.g., 'Ò sǐ’ nzhī ghə̀ə̀ zǒ bɑ̄, mɑ̀ pó mfén ō pù’ ».'"
8,Missing punctuation,Shck. Ca᷅mnà',"Add punctuation at the end, e.g., 'Shck. Ca᷅mnà'.'"
16,Missing punctuation,List of Tables,"Add punctuation at the end, e.g., 'List of Tables.'"
18,Missing punctuation,Tableau 1. Variation de prononciation entre l'anglais britannique et l'anglais américain.	3,"Add punctuation at the end, e.g., 'Tableau 1. Variation de prononciation entre l'anglais britannique et l'anglais américain.	3.'"
19,Missing punctuation,Tableau 2. Variation de prononciation entre deux variantes de la langue fè'éfě'è : le Komako et le Bana.	4,"Add punctuation at the end, e.g., 'Tableau 2. Variation de prononciation entre deux variantes de la langue fè'éfě'è : le Komako et le Bana.	4.'"
20,Missing punctuation,Tableau 3. Alphabet phonétique des langues africaines	x,"Add punctuation at the end, e.g., 'Tableau 3. Alphabet phonétique des langues africaines	x.'"
21,Missing punctuation,Tableau 4. Types de promoms personnels en langue fe’efe’e.	xiv,"Add punctuation at the end, e.g., 'Tableau 4. Types de promoms personnels en langue fe’efe’e.	xiv.'"
22,Missing punctuation,"Tableau 5. Présent (Mfūā: voler, to fly)	xv","Add punctuation at the end, e.g., 'Tableau 5. Présent (Mfūā: voler, to fly)	xv.'"
